Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4
184,It's a diaper commercial.,Monica,neutral,neutral,17,5
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6
186,Pizza delivery!,Caitlin,joy,positive,17,7
187,I'll get it! I will get that!,Ross,joy,positive,17,8
188,Hi!,Caitlin,joy,positive,17,9
189,Hi!,Ross,joy,positive,17,10
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1
192,Yeah?,Ross,neutral,neutral,18,2
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3
194,"Uhh,",Ross,neutral,neutral,18,4
195,Okay!,Joey,joy,positive,18,5
196,Uh-oh.,Joey,fear,negative,18,6
197,What?,Ross,neutral,neutral,18,7
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10
201,Hey.,Joey,neutral,neutral,19,0
202,Hey!,Phoebe,neutral,neutral,19,1
203,How did it go with Erin?,Rachel,neutral,neutral,20,0
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1
205,"Yay!! Oh so, you?re not, you?re not mad at us anymore?",Phoebe,joy,positive,20,2
206,No!,Joey,joy,positive,20,3
207,No!,Joey,joy,positive,20,4
208,No!,Joey,joy,positive,20,5
209,You guys were totally right!,Joey,joy,positive,20,6
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7
211,Y?know?,Joey,neutral,neutral,20,8
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9
213,Didn?t you sleep together?,Phoebe,neutral,neutral,20,10
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11
215,And!,Joey,joy,positive,20,12
216,We have so much in common!,Joey,joy,positive,20,13
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that?s a",Joey,joy,positive,20,14
218,"Oh my God! Listen to you talkin? about having kids. Oh my Joey.  Oh, please don?t get married before I do.",Rachel,surprise,positive,20,15
219,Okay.,Joey,neutral,neutral,20,16
220,How does she do that?,Monica,surprise,negative,21,0
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,neutral,21,4
225,What's going on with you?,Monica,surprise,positive,21,5
226,I got no sleep last night!,Phoebe,anger,negative,21,6
227,Why?,Ross,neutral,neutral,21,7
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8
229,"Oh, and deaf.",Phoebe,neutral,neutral,21,9
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,neutral,21,12
233,Thanks.,Phoebe,joy,positive,21,13
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2
237,"Breathe, breathe, breathe.",Nurse,neutral,neutral,22,3
238,"Are you insane? I mean Joey, is going to kill you, he?s actually going to kill you dead.",Monica,surprise,negative,23,0
239,Okay! You don?t think I thought of that?,Chandler,anger,negative,23,1
240,How can you not know which one?,Phoebe,surprise,negative,23,2
241,I mean that?s unbelievable.,Rachel,joy,positive,23,3
242,"I mean, was it Gina?",Monica,neutral,neutral,23,4
243,Which one is Gina?,Ross,neutral,neutral,23,5
244,"Dark, big hair, with the airplane earrings.",Rachel,neutral,neutral,23,6
245,"No, no, no, that?s Dina.",Monica,neutral,neutral,23,7
246,"You see you can?t tell which one is which either, dwha!!",Chandler,surprise,negative,23,8
247,"I don?t know, you thought ?See you Saturday? was funny.",Rachel,neutral,neutral,24,0
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,neutral,24,1
249,You guys would never want to go to a lecture with me.,Rachel,neutral,neutral,24,2
250,Pa-haa!! I would love to go with you.,Ross,joy,positive,24,3
251,Really!?,Rachel,surprise,positive,24,4
252,"Yeah, hey I-I have clothes, I even pick them out.",Ross,neutral,neutral,24,5
253,"I mean for, for all you know I could be a fashion..... monger.",Ross,neutral,neutral,24,6
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7
255,"What should I wear, now I?m all nervous.",Ross,fear,negative,24,8
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3
260,: Yeah.,Mr. Treeger,neutral,neutral,25,4
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,Joey,neutral,neutral,25,5
262,": Ahh, thanks but no. You see I-I think I?m ready to dance with girls.",Mr. Treeger,neutral,neutral,25,6
263,Okay.,Joey,neutral,neutral,25,7
264,: Yeah.,Mr. Treeger,neutral,neutral,25,8
265,Go get ?em Treeger.,Joey,neutral,neutral,25,9
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",Mr. Treeger,neutral,neutral,25,10
267,Really?,Joey,surprise,positive,25,11
268,": Yeah, you could dance real good with her, she?s the same size as me.",Mr. Treeger,neutral,neutral,25,12
269,"No, I?m good.",Joey,neutral,neutral,25,13
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,negative,26,0
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,neutral,26,1
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,positive,26,2
273,Who knows?,Joey,neutral,neutral,26,3
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,neutral,26,4
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6
277,Yeah!,Ross,joy,positive,26,7
278,"Actually, that can't happen.",The Casting Director,neutral,neutral,26,8
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,neutral,neutral,26,9
280,So it'll be either you two  or you two.,The Casting Director,neutral,neutral,26,10
281,"Man, this is gonna be kinda weird.",Joey,sadness,negative,26,11
282,"Yeah, it is.",Ross,neutral,neutral,26,12
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,neutral,neutral,26,13
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,negative,27,0
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,joy,positive,27,1
286,Please!,Ross,anger,negative,28,0
287,Are you kidding?,Ross,anger,negative,28,1
288,"I-I hurt three huge men, I gave a guy a bloody nose?I mean I-I?m not proud of it but, I really am.",Ross,anger,negative,28,2
289,"And it?s all because of you, wonderful, amazing you.",Ross,joy,positive,28,3
290,I think you?ve got concussion.,Emily,fear,negative,28,4
291,"No, no, I?m serious. Thank you.",Ross,joy,positive,28,5
292,You?re welcome.  I?m sorry. Did I hurt you?,Emily,fear,negative,28,6
293,"It?s worth the pain.  Y?know what, you know what? It?s not.",Ross,sadness,negative,28,7
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,Monica,surprise,positive,29,0
295,I do! Want a hint? huh? "I do"  "I do".,Chandler,joy,positive,29,1
296,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",Monica,neutral,neutral,29,2
297,David is going to propose to Phoebe.,Chandler,joy,positive,29,3
298,What?  Why?,Monica,surprise,negative,29,4
300,"Chandler, we have talked about this.",Monica,anger,negative,29,6
301,You are not supposed to give people advice!,Monica,anger,negative,29,7
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,anger,negative,29,8
303,I,Chandler,neutral,neutral,29,9
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,anger,negative,29,10
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,anger,negative,29,11
306,"Man, that's some",Chandler,surprise,positive,29,12
307,"Oh, that's not what you want...",Ross,neutral,neutral,29,13
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,neutral,neutral,30,0
309,It-it?s great to meet you Paul.,Ross,joy,positive,30,1
310,I usually prefer Elizabeth?s boyfriends to address me as Mr. Stevens.,Paul,neutral,neutral,30,2
311,"Of course, of course, Mr. Stevens.",Ross,neutral,neutral,30,3
312,"So Ross, what your problem?",Paul,anger,negative,30,4
313,Eh-wh?Excuse me?,Ross,surprise,positive,30,5
314,Why can?t you get a girlfriend your own age?,Paul,anger,negative,30,6
315,That?s funny. Umm?.  It?s not funny.,Ross,fear,negative,30,7
316,I,Paul,neutral,neutral,30,8
317,Okay.,Ross,neutral,neutral,30,9
318,"I can, I can see that.",Ross,neutral,neutral,30,10
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,negative,30,11
320,Okay.,Paul,neutral,neutral,30,12
321,What?,Ross,neutral,neutral,30,13
322,Okay. I?ll give you one chance to change my mind.  You got one minute.,Paul,anger,negative,30,14
323,Daddy!,Elizabeth,surprise,negative,30,15
324,"Oh well, it?s not on TV yet.",Joey,neutral,neutral,31,0
325,"Well, then it?s not on the wall yet.",The Dry Cleaner,neutral,neutral,31,1
326,"Okay, fine, I will bring you a tape, huh?",Joey,neutral,neutral,31,2
327,"So umm, now do you have any of Matt Lauer?s clothes here? Maybe? Just ones that haven?t been cleaned yet?",Phoebe,neutral,neutral,31,3
329,Ooooohh!,Joey and Chandler,surprise,negative,32,0
330,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",Phoebe,neutral,neutral,32,1
331,Was it...?,Monica,surprise,negative,32,2
332,"Oh, boy scouts could have camped under there.",Phoebe,neutral,neutral,32,3
333,"""Ooo,"" what?",Rachel,surprise,positive,32,4
334,Uma Thurman.,Phoebe,neutral,neutral,32,5
335,Oh!,Monica,surprise,positive,32,6
336,The actress!,Ross,surprise,positive,32,7
337,Thanks Rach.,Ross,neutral,neutral,32,8
338,So what are you gonna do?,Chandler,surprise,negative,32,9
339,You have to tell her!,Ross,joy,positive,32,10
340,You have to tell her!,Ross,joy,positive,32,11
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",Ross,anger,negative,32,12
342,Guys?,Ross,anger,negative,32,13
343,Guys?,Ross,anger,negative,32,14
344,"Oh, yeah, you have to tell her.",Chandler,neutral,neutral,32,15
345,Feminist issue. That's where I went!,Joey,neutral,neutral,32,16
346,She is gonna hate me.,Phoebe,fear,negative,32,17
347,"Yeah, well...",Ross,neutral,neutral,32,18
328,Will you marry me?,Chandler,fear,negative,33,0
329,It?s the big night! We wanted to wish you good luck!,Joey,joy,positive,33,1
330,"Yeah, yeah you have the ring?",Ross,neutral,neutral,33,2
331,"Yeah, right here in my pocket.  Pheebs?",Chandler,neutral,neutral,33,3
332,Oh! Oop!,Phoebe,surprise,positive,33,4
333,"Okay, now will you guys get out of here? I want this is to be a surprise and she?s gonna know.",Chandler,neutral,neutral,33,5
334,Yeah-yeah you guys. Get out of here!,Ross,neutral,neutral,33,6
335,Hi guys.,Monica,neutral,neutral,33,7
336,You are beautiful.,Chandler,joy,positive,33,8
337,"Oh, thank you!   What?s going on?",Monica,joy,positive,33,9
338,We?re just really?very excited about this charity event that we have to go to.,Rachel,neutral,neutral,33,10
339,"Okay umm, Ross?",Rachel,neutral,neutral,34,0
340,"I'm-I'm really warm, so I'm going to be taking off my sweater.",Rachel,neutral,neutral,34,1
341,"Now, I'm just letting you know that this is",Rachel,neutral,neutral,34,2
342,Yep! That's hilarious!,Ross,joy,positive,34,3
343,I'm sorry. I'm done. I'm done.,Rachel,neutral,neutral,34,4
344,"Y'know, last night was embarrassing for you too.",Ross,neutral,neutral,34,5
345,"No, not really. I mean you've seen me naked hundreds of times.",Rachel,neutral,neutral,34,6
346,Uh-huh. But it was a first for the rest of my building.,Ross,neutral,neutral,34,7
347,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",Rachel,neutral,neutral,34,8
348,What?! You totally get embarrassed!,Ross,surprise,positive,34,9
349,"No, I don't! Ross, I think I'm just a more secure person than you are.",Rachel,neutral,neutral,34,10
350,Is that so?,Ross,neutral,neutral,34,11
351,Yeah.,Rachel,neutral,neutral,34,12
352,Hey lady! I don't care how much you want it! Okay?! I am,Ross,disgust,negative,34,13
353,I can?t believe it!,Phoebe,surprise,positive,35,0
354,I did it!,Phoebe,joy,positive,35,1
355,I rode a bike!,Phoebe,joy,positive,35,2
356,I never thought I?d be able to do that!,Phoebe,joy,positive,35,3
357,Thank you Ross.,Phoebe,joy,positive,35,4
358,"Oh hey, don?t thank me, thank yourself. You?re the one who faced her fears and ultimately overcame them.",Ross,joy,positive,35,5
362,"Hey, both you guys should be up there with me.",Ross,neutral,neutral,36,0
363,"I mean, you two are-are my? I mean, I?m lucky to have just one good",Ross,neutral,neutral,36,1
364,Thanks man.,Chandler,neutral,neutral,36,2
365,I gotta go check something over here.,Joey,neutral,neutral,36,3
366,What a baby.,Chandler,sadness,negative,36,4
367,Total wuss!,Ross,sadness,negative,36,5
391,"Okay, we have a lot of options here, a number of prototypes for you to try on.",Monica,neutral,neutral,37,0
392,Wow! This looks great!,Joey,joy,positive,37,1
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,positive,37,2
394,And-and-and-and-and the toothpicks?,Joey,disgust,negative,37,3
395,You kissed another woman!,Monica,anger,negative,38,0
396,Call it even?!,Chandler,neutral,neutral,38,1
397,Okay!,Monica,joy,positive,38,2
398,"Well, I?m gonna go get these  in some water.",Ross,neutral,neutral,38,3
399,Wait you stole those from these people?s wedding?,Phoebe,surprise,negative,38,4
400,"No-no, I took them from the hotel lobby.",Ross,neutral,neutral,38,5
401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",Ross,anger,negative,38,6
402,Hey!,Ross,surprise,positive,38,7
403,My sweater!,Ross,surprise,positive,38,8
404,I?ve been looking for this for like a month!,Ross,surprise,positive,38,9
405,Oh my God!!,Phoebe,surprise,negative,38,10
406,Oh my God!,Joey,surprise,negative,38,11
407,Happy?! Is that what I?m supposed to be Vic? Happy?,Kate,anger,negative,39,0
408,"Well, why don?t you tell me what you?re supposed to be!",Joey,anger,negative,39,1
409,Huh?,Joey,surprise,negative,39,2
410,Because I sure as hell can?t figure it out!,Joey,anger,negative,39,3
411,I talk to you and nothin?.,Joey,anger,negative,39,4
412,"You look at me, and it?s nothin?.",Joey,anger,negative,39,5
413,Nothing.,Joey,anger,negative,39,6
414,"Tasty! I?m really starting to feel like you guys have a history, it?s-it?s nice.",The Director,joy,positive,39,7
415,I have a question about this scene.,Kate,neutral,neutral,39,8
416,Yes?,The Director,neutral,neutral,39,9
417,"Well, I don?t understand why Adrienne?s attracted to Victor.",Kate,disgust,negative,39,10
418,"Peel the onion. First of all, he?s good looking.",The Director,neutral,neutral,39,11
419,Yeah.,Joey,neutral,neutral,39,12
