Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Generate_emotion,tips
Push!,Joey,joy,positive,1,joy,"The emotion of joy in the utterance ""Push!"" could be due to the speaker's excitement or enthusiasm in motivating the listener to take action and make progress. The listener's reaction of feeling motivated or determined could contribute to the speaker's joy as it indicates a positive response to their encouragement."
Okay.,Ross,neutral,neutral,2,neutral,The speaker's neutral emotion may be due to being open to the next topic of conversation or being in a neutral state of mind. The listener's positive or smooth response may contribute to maintaining a positive and cooperative interaction.
"Ross, didn't you say that there was an elevator in here?",Rachel,neutral,neutral,2,neutral,"The neutral emotion in this context may be due to the straightforward nature of the question about the elevator's presence, without any strong emotional content. The speaker's intention to confirm the elevator's existence and the listener's potential response of providing information likely do not elicit strong emotions, resulting in a neutral tone."
"Uhh, yes I did but there isn't. Okay, here we go.",Ross,sadness,negative,2,anger,The reason for Ross's anger could be due to his frustration at not finding the elevator as he had previously indicated its existence to Rachel.
"Okay, go left. Left! Left!",Ross,surprise,negative,2,neutral,"The speaker's frustration or annoyance may be due to the listener not following previous instructions or making mistakes, leading the speaker to feel the need to be more assertive in their communication."
"Okay, y'know what? There is no more left, left!",Rachel,anger,negative,2,anger,The reason for the emotion of anger in Rachel's utterance could be due to her frustration with the situation or with Ross's instructions. Ross's repeated insistence on going left may have contributed to Rachel's escalating emotions.
"Oh okay, lift it straight up over your head!",Ross,anger,negative,2,neutral,"Rachel's frustration or annoyance may be due to the fact that there is no more left of something, possibly causing a delay or inconvenience in the task at hand. This could lead Ross to try to address the issue or continue with the task to find a solution."
Straight up over your head!,Ross,anger,negative,2,joy,"The reason for the emotion of joy in Ross's utterance could be because he is successfully giving clear instructions and the listener is likely following them, leading to a positive interaction."
You can do it!,Ross,joy,positive,2,joy,"The reason for the emotion of joy in this context is likely because Ross is providing encouragement and support to the listener, which can lead to feelings of empowerment and motivation."
You can do it!,Ross,joy,positive,2,joy,"The reason for the emotion of joy in the current utterance ""You can do it!"" could be due to the speaker's intention of encouraging or motivating the listener, which could lead to the listener feeling inspired or motivated."
Okay.,Ross,neutral,neutral,2,neutral,"The reason for the neutral emotion in the current utterance could be that Ross is acknowledging the situation calmly and objectively, without showing strong emotions."
You got it?,Ross,neutral,neutral,2,joy,"The reason for the emotion of joy in Ross could be due to the confirmation that the listener has understood or accomplished something, aligning with the speaker's intention, and eliciting a positive reaction from the listener."
"Oh, okay, I get it.",Steve,neutral,neutral,3,neutral,"The speaker's neutral emotion could be due to a lack of complete understanding or clarity in the conversation. Their intention may have been to seek clarification or confirmation, which could lead to the listener providing further explanation or reassurance."
"No wait, look. Look! I'm sorry, it's just I've never even",Ross,fear,negative,3,neutral,"The speaker's emotion of neutrality could be due to trying to clarify a misunderstanding or express their apology, while the listener's understanding and willingness to listen may have contributed to a lack of strong emotion in the speaker."
Howard's the,Steve,neutral,neutral,3,neutral,The emotion of neutral in Steve's utterance may be due to a lack of strong feelings or reactions in the current conversation.
"Yes but too me he's just, man.",Ross,neutral,neutral,3,neutral,"The reason for Ross's neutral emotion could be that he doesn't have strong feelings towards the person being discussed, Howard. This lack of strong emotions may lead to a nonchalant or indifferent attitude in his conversation with Steve."
"Okay, fine, whatever. Welcome to the building.",Steve,anger,negative,3,neutral,"The speaker's dismissive or indifferent emotion may be due to feeling uninterested or unimpressed by the listener's comment. The listener may feel undervalued or like their opinion is not being taken seriously, leading to potential feelings of frustration or disappointment."
"Ugh, can you believe that guy!",Ross,disgust,negative,3,disgust,"The emotion of disgust in Ross may be due to the negative interaction with the other person mentioned. Ross's intention could be to express his frustration or annoyance, while the listener's reaction may be to dismiss or not engage with Ross's negative emotions."
Yeah. I really like his glasses.,Phoebe,neutral,neutral,3,neutral,"The reason for Ross' frustration or annoyance could be that he has a negative opinion or experience with the guy in question, leading him to express his feelings about him."
Ohh!,Phoebe,surprise,positive,4,surprise,"The reason for Phoebe's surprise emotion could be due to the unexpected nature of the news or information she has just discovered, leading to a genuine reaction of surprise from her."
What?,Monica,neutral,neutral,4,surprise,"The reason for Monica's surprise could be due to unexpected information or a sudden change in the conversation, causing her to react with surprise."
It kicked! I think the baby kicked!,Phoebe,surprise,positive,4,joy,"The reason for the emotion of joy in feeling the baby kick is likely due to the speaker's excitement and the listener's potential surprise or excitement, which amplifies the joy of the moment."
Oh my God!,Monica,surprise,positive,4,surprise,"The emotion of surprise in Monica's utterance is likely due to the unexpected and exciting news that Phoebe's baby kicked, which is a significant moment in pregnancy. Monica's reaction suggests she is genuinely surprised and excited about this development."
"Oh no wait, oh no, the elastic on my underwear busted.",Phoebe,neutral,neutral,4,sadness,"The reason for Phoebe's sadness could be embarrassment or discomfort due to the situation with her underwear, as indicated by Monica's shocked reaction."
Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,Joey,fear,negative,4,surprise,The reason for the emotion of surprise in Joey's utterance is likely due to the realization that he overslept and is now late for something important. This unexpected situation may have caught him off guard and led to his surprised reaction.
"Oh wait, Joey, you can?t go like that! You stink!",Monica,disgust,negative,4,disgust,"The emotion of disgust in Monica's utterance is likely due to Joey's stench, which she finds unpleasant. Her intention is to alert Joey to his odor, and Joey's reaction may be embarrassment or annoyance."
"Look, I know I feel asleep before I could shower and now I don?t have time!",Joey,anger,negative,4,anger,"The reason for Joey's anger could be due to feeling embarrassed and defensive about not having time to shower, as pointed out by Monica."
"They?re just ten blocks away, if I run, I can make it.",Joey,neutral,neutral,4,neutral,"The speaker's emotion of neutrality may be due to their focus on reaching their destination quickly and efficiently, rather than being overwhelmed by stress or frustration. Their intention to run to make it on time suggests a practical and determined mindset. The listener's potential reactions of offering assistance or encouragement could help alleviate any potential stress or pressure the speaker may be feeling."
You?re coming on to the entire room!  I?m Chandler.,Chandler,anger,negative,5,surprise,"The emotion of surprise in Chandler's utterance may be due to the unexpected and playful nature of his comment towards the listener. The listener's reaction of amusement or playing along with the teasing may have caught Chandler off guard, leading to his surprise."
Hi.,Chandler,neutral,neutral,5,joy,The reason for the joy emotion in Chandler's current utterance could be due to the playful banter and humor in the interaction with the listener.
Hi.,Marjorie,neutral,neutral,5,joy,"The reason for Marjorie's joy could be because she was greeted by Chandler, which may have made her feel happy and appreciated."
You mind if I,Chandler,neutral,neutral,5,neutral,The neutral emotion in Chandler's utterance could be due to him being unsure or indifferent about Marjorie's greeting. His reaction may indicate a lack of strong feelings towards the interaction.
"No, please.",Marjorie,neutral,neutral,5,neutral,"The reason for Marjorie's neutral emotion could be that she is not keen on whatever Chandler is about to ask or request, as indicated by her response of ""No, please."" She may be anticipating a potential inconvenience or discomfort."
"So uh, what are you in for?",Chandler,neutral,neutral,5,neutral,The reason for the speaker's neutral emotion may be due to feeling unsure or cautious about discussing their reasons for being in a certain situation. Their intention may be to gauge the listener's reaction and possibly open up about their circumstances. The listener's reaction of curiosity or concern may prompt the speaker to share more or to change the topic.
I talk in my sleep.,Marjorie,neutral,neutral,5,neutral,The reason for Marjorie's neutral emotion could be that she is simply stating a fact about herself without any strong feelings attached to it.
"What a coincidence, I listen in my sleep.",Chandler,neutral,neutral,5,joy,The emotion of joy in Chandler's statement may be due to the humor and amusement he finds in the coincidence of both him and Marjorie talking or listening in their sleep.
So why don?t you give me your number?,Joey,neutral,neutral,5,joy,"The reason for Joey's joy could be his excitement or interest in getting the other person's number, as well as the potential positive outcome of forming a closer connection."
Previously on Friends.,Joey,neutral,neutral,6,neutral,"The emotion of the speaker (Joey) being neutral is likely because they are simply setting the stage for a recap of a previous episode, which is a common practice in TV shows. The listener may also be neutral or curious to hear the recap without any strong emotional reaction."
I don?t know exactly. It?s-it?s sorta like wrestling.,Monica,neutral,neutral,6,neutral,"The emotion of neutrality in this context may indicate that the speaker is unsure or hesitant in their explanation, leading to a neutral tone. The listener may also feel uncertain or curious about the comparison to wrestling, which could contribute to the neutral emotion."
Oh?!,Phoebe,surprise,negative,6,surprise,The emotion of surprise in Phoebe's utterance may be caused by the unexpected or unusual comparison to wrestling made by Monica in the preUtterance.
"Yeah, but without the costumes.",Monica,neutral,neutral,7,neutral,"The neutral emotion in this utterance may be due to the speaker simply stating a preference for not wearing costumes, without any strong feelings attached to it. The intention could be to clarify a detail or make a suggestion for a different approach. The listener may react by acknowledging the preference and potentially adjusting plans accordingly."
Oh.,Phoebe,neutral,neutral,7,neutral,The reason for Phoebe's neutral emotion could be that she may not have a strong emotional response or investment in the topic of conversation about costumes. Her intention may be to simply acknowledge Monica's statement without adding much emotion or opinion.
"And it?s not fake, it?s totally brutal.",Joey,neutral,neutral,7,neutral,"The speaker's emotion may be neutral because they are simply stating a fact about something being brutal, without expressing any strong feelings themselves. The listener's neutral response may indicate a lack of strong emotional investment in the topic being discussed."
"Yeah, it?s two guys in a ring, and the rules are: ?They?re",Chandler,neutral,neutral,7,neutral,"The emotion of neutrality in Chandler's utterance could be due to him simply stating the rules of the sport without expressing any strong feelings or opinions about it. His intention may be to provide a straightforward explanation, while the listener's potential reaction could be one of acceptance or acknowledgment of the information."
"So you can like, bite, and pull people?s hair and stuff?",Monica,surprise,negative,7,surprise,"The reason for the emotion of surprise in Monica's utterance could be due to her unexpected discovery that biting and pulling hair are allowed in the context of the fight being discussed. This goes against typical expectations of sportsmanship and fair play, leading to her surprise."
"Yeah, anything goes, except ah, eye gouging and fish hooking.",Ross,neutral,neutral,7,neutral,The emotion of neutrality in Ross's statement may be due to the matter-of-fact nature of his response to Monica's question about the rules of the activity. He is simply stating the rules without any strong emotional attachment.
What?s fish hooking?,Monica,surprise,negative,7,surprise,"The reason for the emotion of surprise in Monica's utterance is likely due to her lack of knowledge or familiarity with the term ""fish hooking"" mentioned by Ross. This unfamiliarity may have sparked her curiosity and led to her surprise at hearing about this specific rule or restriction in the activity or sport they are discussing."
"Huh, what?s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",Ross,neutral,neutral,7,neutral,The emotion of neutrality in this context may be due to the speaker simply seeking clarification on a term and the listener providing an explanation without any strong emotional content involved.
"What? My hands are totally clean, I just gave the duck a bath.",Joey,neutral,neutral,7,joy,The reason for Joey's joy in giving the duck a bath could be because he enjoys taking care of animals and finds it fulfilling to see the duck clean and happy.
"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",Jade,sadness,negative,8,joy,The reason for the emotion of joy in this utterance could be the speaker's strong feelings for Bob and their excitement or happiness in expressing those feelings.
"Well, that makes me feel so good.",Chandler,joy,positive,8,joy,"The reason for the emotion of joy in Chandler's utterance could be due to feeling appreciated and valued by the speaker, Jade, in the preUtterance. Jade's expression of admiration and desire for Bob may have made Chandler feel special and happy."
It was just so awkward and bumpy.,Jade,neutral,neutral,8,neutral,The emotion of neutrality in Jade's statement may be due to her trying to downplay or minimize the awkward and bumpy situation she experienced. She may not want to dwell on the negative emotions associated with it.
Bumpy?,Ross,surprise,negative,8,surprise,"The emotion of surprise in Ross's utterance may be due to the unexpected or unusual nature of Jade's description of the situation as ""awkward and bumpy."" Ross may be surprised by the negative or uncomfortable experience Jade is describing, leading to his emotional reaction."
"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",Chandler,neutral,neutral,8,neutral,The neutral emotion in Chandler's utterance suggests he is open-minded and trying to offer a possible explanation for the situation. Ross's response may lead to further discussion or clarification on the topic.
And uh maybe you have to get used to it.,Chandler,neutral,neutral,8,neutral,"The emotion of neutral in Chandler's current utterance may be due to him trying to gently suggest to the listener to get used to the new style, without coming across as too forceful or judgmental. This approach may make the listener more open to considering the suggestion without feeling defensive."
"Well there really wasn't much time to get used to it, you know what I mean?",Jade,joy,positive,8,neutral,The emotion of neutrality in Jade's statement may be due to the matter-of-fact tone in which they are discussing the lack of time to adjust to a situation. Their intention may be to simply convey this fact without expressing strong emotions. The listener may react by understanding Jade's perspective and possibly sharing their own experiences or thoughts on the matter.
Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,Phoebe,fear,negative,9,surprise,"The reason for the emotion of surprise in this situation could be due to the unexpected and energetic behavior of the speaker as they navigate through the crowded space and greet someone. The listener may be surprised by the speaker's sudden and enthusiastic approach, leading to a feeling of surprise."
"Oh well, it?s not so bad.",Monica,neutral,neutral,9,neutral,The reason for Monica's neutral emotion could be that she is trying to downplay a situation or show a lack of strong emotion in response to Phoebe's energetic and chaotic entrance.
"Yeah, most of the damage is pretty mostly contained in the bedrooms.",Fireman #1,sadness,negative,9,neutral,"The emotion of neutrality in the fireman may be due to their focus on containing the damage and providing information calmly, while Monica's positive outlook in the preUtterance may influence the fireman's neutral response as they see the situation in a more optimistic light."
Oh!,Phoebe,surprise,negative,9,surprise,The reason for Phoebe's surprise emotion could be due to unexpected or shocking information being shared by Fireman #1 about the damage being contained in the bedrooms.
My God!,Rachel,surprise,negative,9,surprise,"Reason for the emotion of surprise: Phoebe's sudden exclamation of ""Oh!"" may have caught Rachel off guard, leading to her own surprise at the unexpected reaction."
"Hey buddy, do you think I can borrow your uniform this Thursday?",Joey,neutral,neutral,9,neutral,"The speaker's emotion may be surprise or shock because the listener's reaction in the preUtterance (""My God!"") suggests something unexpected or intense may have happened. The listener's reaction may indicate curiosity or concern, further fueling the speaker's surprise or shock."
Excuse me?,Fireman #1,surprise,positive,9,surprise,"The emotion of surprise in Fireman #1 could be due to the unexpected request to borrow their uniform, as it may be unusual or unexpected for someone to ask for such an item."
Joey! He?s working!  You would look,Monica,anger,negative,9,anger,The reason for Monica's anger is likely due to her frustration with Joey for interrupting someone who is working. She wants Joey to respect the person's job and not disturb them.
"Oh, how bad is it?",Joey,sadness,negative,9,sadness,The reason for Joey's sadness could be due to feeling scolded by Monica for interrupting someone who is working.
"Oh, it?s bad. It?s really bad. The only thing in there that isn?t burned is an ass. Which I do",Phoebe,sadness,negative,9,sadness,"The reason for Phoebe's sadness could be due to the severity of the situation she is describing, where everything is burned except for one item. Joey's concern or curiosity may have prompted Phoebe to express her emotions about the situation, leading to her feeling sad."
How?s your room Rach?,Chandler,neutral,neutral,9,neutral,"The reason for the neutral emotion in Chandler's utterance could be due to the humorous and exaggerated nature of Phoebe's previous statement about her room being burned. Chandler may be reacting neutrally to the situation, possibly finding humor in Phoebe's description."
Everything?s ruined. My bed. My clothes. Look at my favorite blue sweater.,Rachel,sadness,negative,9,sadness,"The reason for Rachel's sadness could be due to feeling overwhelmed by the damage to her belongings and personal space. Chandler's concern and empathy in his preUtterance may have highlighted the extent of the situation, intensifying Rachel's emotions."
Isn?t that mine?,Monica,neutral,neutral,9,neutral,"The reason for the speaker's frustration or disappointment could be due to the fact that their belongings have been ruined, specifically their favorite blue sweater. This loss or damage may have significant sentimental value to the speaker, leading to their emotional response."
Fine! I?m sorry for your loss!,Rachel,anger,negative,9,anger,The reason for the emotion of anger in Rachel's utterance could be due to feeling defensive or frustrated in response to Monica's comment questioning ownership.
"So uh, you?re not gonna be able to live here for a while, you ladies have a place to stay?",Fireman #1,neutral,neutral,9,neutral,"The emotion of sympathy in Rachel could be due to her recognizing the difficult situation Fireman #1 is in and wanting to show empathy and support. This emotion is likely triggered by her intention to express condolences and comfort Fireman #1 in his time of loss, which could elicit a positive reaction from him."
"Wow! Oh-okay, look pal, I am",Rachel,joy,positive,9,surprise,"The reason for Rachel's surprise emotion could be due to the unexpected offer of help and support from Fireman #1, as she may not have been expecting such kindness in the situation."
"Yes, they can stay with us.",Monica,neutral,neutral,9,joy,"The emotion of joy in Monica's utterance may be due to her willingness to accommodate and help others, as well as her excitement about the prospect of having guests."
Have you figured out what started the fire Mr. Fireman?,Chandler,neutral,neutral,9,neutral,The neutral emotion in this context could be due to the casual and matter-of-fact nature of Chandler's question about the fire's cause. It doesn't seem to carry any strong emotional weight or urgency.
There?s just so much pressure.,Joey,anger,negative,10,anger,"The reason for Joey's anger could be the overwhelming pressure he is feeling. This could be causing him to feel frustrated and stressed, leading to his emotional response."
"I mean no offense, but what you guys do is very different.",Joey,neutral,neutral,10,neutral,"The speaker may be feeling pressure due to the differences in what they and the others are doing, leading to a sense of unease or insecurity. The listener may respond by trying to understand and provide reassurance or validation."
I don?t know if you?d understand.,Joey,neutral,neutral,10,neutral,"The emotion of doubt in the current utterance may be due to Joey feeling uncertain about the listener's ability to comprehend a complex topic. This doubt could stem from Joey's previous comment about their differing perspectives, leading to a sense of disconnect or misunderstanding."
"Yeah, none of us have to deal with pressure at our jobs.",Ross,neutral,neutral,10,neutral,"The reason for Joey's emotion of uncertainty may be due to feeling misunderstood or underestimated by Ross, who claims that none of them have to deal with pressure at their jobs. Joey may feel the need to explain or defend the pressure he faces in his own job."
"Well Phoebe, we gotta do something!",Rachel,sadness,negative,11,anger,"Reason for the emotion of anger: Rachel's emotion of anger may be driven by a sense of urgency and frustration in trying to find a solution to a problem, leading her to express her feelings to Phoebe."
I mean there?s no way Joey?s gonna make it in time.,Rachel,fear,negative,11,neutral,"The reason for the neutral emotion in this situation could be due to the uncertainty and doubt expressed by the speaker about Joey making it in time. The listener may react by trying to come up with a plan or offering reassurance, which could help alleviate the speaker's concerns and potentially change their emotion."
So I?m gonna go through the hotel and see if there?s any other weddings going on.,Rachel,neutral,neutral,11,neutral,"The emotion of neutrality in this context may be due to the speaker simply stating their plan to check for other weddings at the hotel without any strong emotional attachment. The intention is to gather information, and the reaction from the listener may be neutral or curious, which aligns with the speaker's neutral emotion."
Okay. Oh but don?t tell them Monica?s pregnant because they frown on that.,Phoebe,neutral,neutral,11,neutral,"The emotion of neutrality in the utterance may be due to the speaker simply relaying information without any strong feelings attached to it. The intention to not tell others about Monica's pregnancy and the listener's potential curiosity about other weddings may not evoke a strong emotional response, leading to a neutral tone."
Okay.,Rachel,neutral,neutral,11,neutral,The reason for Phoebe's emotion of caution could be to protect Monica's privacy and avoid any potential negative consequences that may arise from revealing her pregnancy.
"What?s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",Ross,anger,negative,12,anger,"The emotion of anger in Ross is likely due to his disbelief and frustration over the situation, as well as his perception that the fight over a room is silly."
"Ross, we can handle this.",Monica,neutral,neutral,12,neutral,The emotion of disbelief and confusion in the preUtterance may be caused by the speaker's perception that the situation is trivial and not worth fighting over.
"Well, apparently not, and I can?t just stand by and watch two people I care about very much be hurt over something that is so silly.",Ross,sadness,negative,12,sadness,Ross is feeling sadness because he cares deeply about the well-being of the people involved and doesn't want to see them hurt over something he perceives as trivial. This emotion may stem from a sense of helplessness in wanting to protect his loved ones from unnecessary pain.
"I mean, enough of the silliness!",Ross,anger,negative,12,anger,The reason for Ross's anger in this situation could be his frustration with the silliness of the situation causing harm to people he cares about.
"Well, why don?t you tell her to stop being silly!",Chandler,anger,negative,12,anger,The reason for the anger emotion in Chandler could be due to his frustration with the other person's behavior and his desire for them to stop being silly.
Okay-okay!,Ross,anger,negative,12,anger,"The reason for Ross's anger could be due to feeling frustrated or overwhelmed with the situation he is dealing with. Chandler's suggestion to tell the other person to stop being silly may not be helpful or address the root of Ross's frustration, leading to his emotional response."
"Two very good points, look I?ve known you both a long time, and I?ve never seen either of you one/millionth as happy as you?ve been since you?ve got together.",Ross,sadness,negative,12,joy,"The reason for the emotion of joy in this situation is likely due to the speaker expressing genuine happiness and support for the listener's relationship, which can make the listener feel grateful and touched."
Do you really want to throw that all away over a room?,Ross,sadness,negative,12,neutral,"The emotion of neutrality in the current utterance may be due to Ross trying to appeal to reason and logic in the situation, rather than expressing strong emotions. He is trying to make the listener reconsider their decision by pointing out the happiness they have experienced together."
That is so silly.,Ross,joy,positive,12,anger,"The reason for Ross's anger in the current utterance may be due to feeling frustrated or incredulous about the listener's actions, possibly feeling like their decision is irrational or unnecessary."
"Now wh-what is more important, love or silliness?",Ross,neutral,neutral,12,neutral,"The emotion of neutrality in Ross's question about the importance of love or silliness may indicate a contemplative or curious mindset, as he is pondering the value of these two elements in relationships. His intention could be to spark a thought-provoking conversation or to explore the dynamics of love and humor in a relationship. The listener may perceive his question as thought-provoking and may offer their own perspective on the topic."
"Well, we are fond of the silliness, but we also have a soft spot for the love.",Chandler,neutral,neutral,12,neutral,"The emotion of neutrality in Chandler's utterance may be due to his balanced view on the importance of love and silliness. He acknowledges both aspects without showing a strong preference for one over the other, which could lead to a more open and inclusive conversation with Ross."
Love is the best medicine.,Monica,joy,positive,12,joy,"The reason for the emotion of joy in Monica's utterance could be due to her belief in the power of love as a positive force in relationships, which is reflected in her statement. Additionally, Chandler's previous comment about having a soft spot for love may have reinforced Monica's feelings of joy and validation in expressing her belief."
That?s laughter.,Chandler,joy,positive,12,joy,"The reason for the emotion of joy in Chandler's utterance could be due to the positive impact of laughter on one's well-being, as mentioned in Monica's preUtterance about love being the best medicine. Chandler may be feeling joy because he agrees with the sentiment that laughter is beneficial and important in life."
Why do you do it?,Monica,neutral,neutral,12,neutral,"The emotion of the current utterance ""neutral"" suggests that Monica is curious or seeking clarification about the listener's actions. She may be trying to understand the motivation behind their behavior."
I don?t know.,Chandler,neutral,neutral,12,neutral,The emotion of neutrality in Chandler's utterance may be due to his uncertainty or lack of knowledge about the situation. This could lead to a neutral response as he is unsure of how to proceed or what to say.
"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",Ross,neutral,neutral,12,neutral,"Chandler's uncertainty may be due to the fact that he is unsure about making a big decision like living with Monica, or he may have reservations about the idea for personal reasons."
"Yeah, I do.",Chandler,neutral,neutral,12,joy,"The reason for Chandler's joy could be that he is happy and excited about the prospect of living with Monica, as confirmed by Ross' question."
"And Mon, you wanna live with Chandler, don?t ya?",Ross,neutral,neutral,12,joy,The emotion of joy in Ross may be due to the excitement of potentially living with Chandler and the positive dynamic between them.
Yes.,Monica,neutral,neutral,12,joy,"The reason for Monica's joy could be that she is excited and happy about the prospect of living with Chandler, as confirmed by Ross's question."
Good! A verbal contract is binding in the state of New York!,Ross,joy,positive,12,joy,"The reason for Ross's joy could be that he is happy to confirm that a verbal contract is binding in the state of New York, which aligns with his intention to assert the validity of their agreement. Monica's simple agreement in the preUtterance may have also contributed to Ross's joy."
Oh.,Roger,neutral,neutral,13,neutral,The speaker's neutral emotion could be due to a lack of interest or engagement in the conversation. The listener may react by feeling unsure or indifferent about the topic at hand.
"But I don't. Me, Phoebe.",Phoebe,neutral,neutral,13,neutral,"The emotion of surprise or uncertainty in Roger may be due to Phoebe's unexpected statement that she doesn't have something, which may have caught him off guard and left him unsure of how to respond."
"Well, I'm not I'm not at all surprised they feel that way.",Roger,neutral,neutral,13,surprise,The emotion of surprise in the current utterance may be due to the speaker Roger not expecting the feelings expressed by the previous speaker. This could lead to further questioning or discussion to understand the differing perspectives.
"You're not? See, that's why you're so great!",Phoebe,surprise,positive,13,joy,"The reason for Phoebe's joy could be that she feels validated and appreciated by Roger's response, which reinforces her positive feelings about herself."
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",Roger,neutral,neutral,13,neutral,"The emotion of neutrality in the current utterance may be due to the speaker's analytical tone in explaining the dysfunctional group dynamic, which may not necessarily evoke strong emotions. The listener's potential agreement or understanding reaction also contributes to the overall neutral tone of the conversation."
"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",Roger,anger,negative,13,anger,The emotion of anger in the current utterance may be a result of the speaker feeling frustrated or irritated by the behavior of the individuals in the coffee house and their dysfunctional group dynamic. The speaker's intention to criticize and the potential defensive or offended reaction from the listener could contribute to this feeling of anger.
Define me!,Roger,anger,negative,13,joy,"The emotion of joy in the current utterance may be a result of the speaker finding humor or amusement in the situation they are describing. The speaker's sarcastic and exaggerated tone in the preUtterance suggests they are making fun of the listener's behavior, which could be seen as comical to them."
"Love me, I need love!",Roger,anger,negative,13,joy,"The emotion of joy in the current utterance ""Love me, I need love!"" may be driven by the speaker's desire for validation, reassurance, or affection from the listener. The listener's potential reaction of providing affection or support could contribute to the speaker's feelings of joy."
Have you really done this before?,Phoebe,surprise,positive,14,surprise,"The emotion of surprise in Phoebe's utterance may be due to her skepticism about the listener's experience, leading her to question if they have actually done something before. This could cause the listener to feel challenged or defensive, as they may need to prove their credibility or expertise in the situation."
Yeah!,Joey,joy,positive,14,joy,"The reason for the emotion of joy in Joey's utterance could be due to his excitement or pride in confirming his previous experience, as indicated by his intention. The listener's possible reaction of surprise or curiosity may also contribute to Joey's joy in the interaction."
Yeah!,Joey,joy,positive,14,joy,"Reason for emotion: The speaker is likely feeling joy or excitement because they are expressing agreement or enthusiasm, and the listener is likely sharing in that joy or agreement."
Yeah!,Joey,joy,positive,14,joy,"The reason for Joey's joy in the utterance ""Yeah!"" could be due to excitement or happiness about a certain topic or situation. This is supported by the listener's possible reaction of sharing in that joy or responding with excitement in the preUtterance."
"You just take a big, big swing.",Joey,neutral,neutral,14,joy,"The reason for the joy emotion in the current utterance is likely due to the speaker's intention to encourage and excite the listener, leading to a positive and enthusiastic reaction from the listener."
"Now, don?t hold back.",Joey,neutral,neutral,14,joy,The reason for the emotion of joy in the current utterance is likely because the speaker's intention of encouraging the listener to not hold back and give their all is motivating and exciting. This positive reinforcement can lead to a feeling of joy in the listener.
Hey!,Phoebe,joy,positive,14,joy,"The reason for Phoebe's joy could be that she feels welcomed and encouraged by Joey's statement to not hold back, allowing her to express herself freely and openly."
Hey-hey-hey!,Joey,joy,positive,14,joy,"The reason for the emotion of joy in the current utterance ""Hey-hey-hey!"" could be the speaker's excitement and enthusiasm in greeting the listener, which may lead to a positive and energetic interaction with the listener."
What are you doing?,Chandler,neutral,neutral,14,neutral,"The neutral emotion in Chandler's response ""What are you doing?"" may be due to curiosity or confusion about Joey's behavior, as he is likely trying to understand the reason behind Joey's greeting."
